"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2013,1,1,0,"CZ0ALIB","PM2.5",48.1
2013,1,1,1,"CZ0ALIB","PM2.5",40.4333333333333
2013,1,1,2,"CZ0ALIB","PM2.5",28.6
2013,1,1,3,"CZ0ALIB","PM2.5",20.4666666666667
2013,1,1,4,"CZ0ALIB","PM2.5",21.1999999966667
2013,1,1,5,"CZ0ALIB","PM2.5",18.8666666666667
2013,1,1,6,"CZ0ALIB","PM2.5",15.9333333333333
2013,1,1,7,"CZ0ALIB","PM2.5",20.8666666666667
2013,1,1,8,"CZ0ALIB","PM2.5",23.1333333333333
2013,1,1,9,"CZ0ALIB","PM2.5",28.1666666633333
2013,1,1,10,"CZ0ALIB","PM2.5",31.8
2013,1,1,11,"CZ0ALIB","PM2.5",31.03333333
2013,1,1,12,"CZ0ALIB","PM2.5",27.53333333
2013,1,1,13,"CZ0ALIB","PM2.5",27.5
2013,1,1,14,"CZ0ALIB","PM2.5",29.3999999966667
2013,1,1,15,"CZ0ALIB","PM2.5",31.6666666666667
2013,1,1,16,"CZ0ALIB","PM2.5",34.7
2013,1,1,17,"CZ0ALIB","PM2.5",36.1999999966667
2013,1,1,18,"CZ0ALIB","PM2.5",36.33333333
2013,1,1,19,"CZ0ALIB","PM2.5",35.63333333
2013,1,1,20,"CZ0ALIB","PM2.5",36.1666666633333
2013,1,1,21,"CZ0ALIB","PM2.5",35.4666666666667
2013,1,1,22,"CZ0ALIB","PM2.5",35.2999999966667
2013,1,1,23,"CZ0ALIB","PM2.5",33.0333333333333
2013,1,2,0,"CZ0ALIB","PM2.5",30.6
2013,1,2,1,"CZ0ALIB","PM2.5",29.3333333333333
2013,1,2,2,"CZ0ALIB","PM2.5",25.8666666666667
2013,1,2,3,"CZ0ALIB","PM2.5",19.7666666666667
2013,1,2,4,"CZ0ALIB","PM2.5",9.96666666666667
2013,1,2,5,"CZ0ALIB","PM2.5",6.6
2013,1,2,6,"CZ0ALIB","PM2.5",7.53333333
2013,1,2,7,"CZ0ALIB","PM2.5",7.36666666666667
2013,1,2,8,"CZ0ALIB","PM2.5",8.16666666333333
2013,1,2,9,"CZ0ALIB","PM2.5",10.23333333
2013,1,2,10,"CZ0ALIB","PM2.5",11.6
2013,1,2,11,"CZ0ALIB","PM2.5",10.8333333333333
2013,1,2,12,"CZ0ALIB","PM2.5",9.5
2013,1,2,13,"CZ0ALIB","PM2.5",8.09999999666667
2013,1,2,14,"CZ0ALIB","PM2.5",7.33333333
2013,1,2,15,"CZ0ALIB","PM2.5",7.66666666666667
2013,1,2,16,"CZ0ALIB","PM2.5",6.96666666666667
2013,1,2,17,"CZ0ALIB","PM2.5",6.83333333333333
2013,1,2,18,"CZ0ALIB","PM2.5",9.13333333333333
2013,1,2,19,"CZ0ALIB","PM2.5",10.6666666633333
2013,1,2,20,"CZ0ALIB","PM2.5",9.43333333333333
2013,1,2,21,"CZ0ALIB","PM2.5",9.69999999666667
2013,1,2,22,"CZ0ALIB","PM2.5",10.93333333
2013,1,2,23,"CZ0ALIB","PM2.5",9.43333333333333
2013,1,3,0,"CZ0ALIB","PM2.5",7.96666666666667
2013,1,3,1,"CZ0ALIB","PM2.5",8.36666666666667
2013,1,3,2,"CZ0ALIB","PM2.5",9.16666666333333
2013,1,3,3,"CZ0ALIB","PM2.5",9.26666666666667
2013,1,3,4,"CZ0ALIB","PM2.5",8.19999999666667
2013,1,3,5,"CZ0ALIB","PM2.5",7.76666666666667
2013,1,3,6,"CZ0ALIB","PM2.5",9.59999999666667
2013,1,3,7,"CZ0ALIB","PM2.5",9.76666666666667
2013,1,3,8,"CZ0ALIB","PM2.5",9.26666666666667
2013,1,3,9,"CZ0ALIB","PM2.5",10.7999999966667
2013,1,3,10,"CZ0ALIB","PM2.5",11.3333333333333
2013,1,3,11,"CZ0ALIB","PM2.5",9.19999999666667
2013,1,3,12,"CZ0ALIB","PM2.5",6.86666666333333
2013,1,3,13,"CZ0ALIB","PM2.5",6.2
2013,1,3,14,"CZ0ALIB","PM2.5",9.1
2013,1,3,15,"CZ0ALIB","PM2.5",9.43333333
2013,1,3,16,"CZ0ALIB","PM2.5",10.13333333
2013,1,3,17,"CZ0ALIB","PM2.5",9.93333333333333
2013,1,3,18,"CZ0ALIB","PM2.5",8.16666666333333
2013,1,3,19,"CZ0ALIB","PM2.5",7.46666666666667
2013,1,3,20,"CZ0ALIB","PM2.5",7.36666666666667
2013,1,3,21,"CZ0ALIB","PM2.5",6.69999999666667
2013,1,3,22,"CZ0ALIB","PM2.5",6.2
2013,1,3,23,"CZ0ALIB","PM2.5",5.83333333
2013,1,4,0,"CZ0ALIB","PM2.5",6.3
2013,1,4,1,"CZ0ALIB","PM2.5",6.73333333
2013,1,4,2,"CZ0ALIB","PM2.5",5.86666666333333
2013,1,4,3,"CZ0ALIB","PM2.5",4.46666666666667
2013,1,4,4,"CZ0ALIB","PM2.5",4.86666666666667
2013,1,4,5,"CZ0ALIB","PM2.5",4.36666666333333
2013,1,4,6,"CZ0ALIB","PM2.5",4.09999999666667
2013,1,4,7,"CZ0ALIB","PM2.5",6.26666666666667
2013,1,4,8,"CZ0ALIB","PM2.5",5.36666666333333
2013,1,4,9,"CZ0ALIB","PM2.5",4.46666666666667
2013,1,4,10,"CZ0ALIB","PM2.5",6.03333333333333
2013,1,4,11,"CZ0ALIB","PM2.5",5.59999999666667
2013,1,4,12,"CZ0ALIB","PM2.5",4.66666666666667
2013,1,4,13,"CZ0ALIB","PM2.5",5.7
2013,1,4,14,"CZ0ALIB","PM2.5",8.16666666333333
2013,1,4,15,"CZ0ALIB","PM2.5",10.1666666633333
2013,1,4,16,"CZ0ALIB","PM2.5",9.16666666333333
2013,1,4,17,"CZ0ALIB","PM2.5",8.33333333333333
2013,1,4,18,"CZ0ALIB","PM2.5",9.03333333333333
2013,1,4,19,"CZ0ALIB","PM2.5",8.6
2013,1,4,20,"CZ0ALIB","PM2.5",8.19999999666667
2013,1,4,21,"CZ0ALIB","PM2.5",8.39999999666667
2013,1,4,22,"CZ0ALIB","PM2.5",8.16666666666667
2013,1,4,23,"CZ0ALIB","PM2.5",5.2
2013,1,5,0,"CZ0ALIB","PM2.5",1.93333333
2013,1,5,1,"CZ0ALIB","PM2.5",1
2013,1,5,2,"CZ0ALIB","PM2.5",2.6
2013,1,5,3,"CZ0ALIB","PM2.5",4.06666666333333
2013,1,5,4,"CZ0ALIB","PM2.5",3.26666666666667
2013,1,5,5,"CZ0ALIB","PM2.5",1.56666666666667
2013,1,5,6,"CZ0ALIB","PM2.5",2.93333333333333
2013,1,5,7,"CZ0ALIB","PM2.5",1.96666666333333
2013,1,5,8,"CZ0ALIB","PM2.5",1
2013,1,5,9,"CZ0ALIB","PM2.5",1
2013,1,5,10,"CZ0ALIB","PM2.5",2
2013,1,5,11,"CZ0ALIB","PM2.5",2.23333333333333
2013,1,5,12,"CZ0ALIB","PM2.5",2.36666666666667
2013,1,5,13,"CZ0ALIB","PM2.5",3.43333333333333
2013,1,5,14,"CZ0ALIB","PM2.5",3.23333333
2013,1,5,15,"CZ0ALIB","PM2.5",3.16666666333333
2013,1,5,16,"CZ0ALIB","PM2.5",3.83333333
2013,1,5,17,"CZ0ALIB","PM2.5",3.43333333
2013,1,5,18,"CZ0ALIB","PM2.5",4.16666666666667
2013,1,5,19,"CZ0ALIB","PM2.5",6.03333333333333
2013,1,5,20,"CZ0ALIB","PM2.5",6.76666666666667
2013,1,5,21,"CZ0ALIB","PM2.5",6.59999999666667
2013,1,5,22,"CZ0ALIB","PM2.5",4.9
2013,1,5,23,"CZ0ALIB","PM2.5",3.69999999666667
2013,1,6,0,"CZ0ALIB","PM2.5",3.96666666666667
2013,1,6,1,"CZ0ALIB","PM2.5",4.33333333333333
2013,1,6,2,"CZ0ALIB","PM2.5",5.33333333333333
2013,1,6,3,"CZ0ALIB","PM2.5",7.73333333
2013,1,6,4,"CZ0ALIB","PM2.5",9.43333333
2013,1,6,5,"CZ0ALIB","PM2.5",8.4
2013,1,6,6,"CZ0ALIB","PM2.5",6.76666666666667
2013,1,6,7,"CZ0ALIB","PM2.5",5.83333333
2013,1,6,8,"CZ0ALIB","PM2.5",4.79999999666667
2013,1,6,9,"CZ0ALIB","PM2.5",5.53333333333333
2013,1,6,10,"CZ0ALIB","PM2.5",6.43333333
2013,1,6,11,"CZ0ALIB","PM2.5",4.66666666333333
2013,1,6,12,"CZ0ALIB","PM2.5",3.5
2013,1,6,13,"CZ0ALIB","PM2.5",4.66666666333333
2013,1,6,14,"CZ0ALIB","PM2.5",3.83333333
2013,1,6,15,"CZ0ALIB","PM2.5",1.7
2013,1,6,16,"CZ0ALIB","PM2.5",3
2013,1,6,17,"CZ0ALIB","PM2.5",4.2
2013,1,6,18,"CZ0ALIB","PM2.5",4.16666666333333
2013,1,6,19,"CZ0ALIB","PM2.5",4.96666666333333
2013,1,6,20,"CZ0ALIB","PM2.5",6.46666666666667
2013,1,6,21,"CZ0ALIB","PM2.5",7.8
2013,1,6,22,"CZ0ALIB","PM2.5",7.06666666333333
2013,1,6,23,"CZ0ALIB","PM2.5",4.96666666666667
2013,1,7,0,"CZ0ALIB","PM2.5",3.53333333333333
2013,1,7,1,"CZ0ALIB","PM2.5",3.86666666666667
2013,1,7,2,"CZ0ALIB","PM2.5",3.33333333333333
2013,1,7,3,"CZ0ALIB","PM2.5",2.89999999666667
2013,1,7,4,"CZ0ALIB","PM2.5",3.43333333
2013,1,7,5,"CZ0ALIB","PM2.5",3.7
2013,1,7,6,"CZ0ALIB","PM2.5",4.56666666666667
2013,1,7,7,"CZ0ALIB","PM2.5",5.73333333333333
2013,1,7,8,"CZ0ALIB","PM2.5",6.96666666333333
2013,1,7,9,"CZ0ALIB","PM2.5",7.93333333333333
2013,1,7,10,"CZ0ALIB","PM2.5",6.59999999666667
2013,1,7,11,"CZ0ALIB","PM2.5",4.46666666333333
2013,1,7,12,"CZ0ALIB","PM2.5",5.93333333
2013,1,7,13,"CZ0ALIB","PM2.5",12.2
2013,1,7,14,"CZ0ALIB","PM2.5",12.4666666666667
2013,1,7,15,"CZ0ALIB","PM2.5",14.5666666666667
2013,1,7,16,"CZ0ALIB","PM2.5",16.3999999966667
2013,1,7,17,"CZ0ALIB","PM2.5",17.5666666666667
2013,1,7,18,"CZ0ALIB","PM2.5",16.3666666666667
2013,1,7,19,"CZ0ALIB","PM2.5",14.8333333333333
2013,1,7,20,"CZ0ALIB","PM2.5",18.9666666666667
2013,1,7,21,"CZ0ALIB","PM2.5",22.9999999966667
2013,1,7,22,"CZ0ALIB","PM2.5",24.1666666633333
2013,1,7,23,"CZ0ALIB","PM2.5",26.1666666666667
2013,1,8,0,"CZ0ALIB","PM2.5",30.1
2013,1,8,1,"CZ0ALIB","PM2.5",34.7333333333333
2013,1,8,2,"CZ0ALIB","PM2.5",31.8999999966667
2013,1,8,3,"CZ0ALIB","PM2.5",29.63333333
2013,1,8,4,"CZ0ALIB","PM2.5",27.6
2013,1,8,5,"CZ0ALIB","PM2.5",23.2666666666667
2013,1,8,6,"CZ0ALIB","PM2.5",21.3333333333333
2013,1,8,7,"CZ0ALIB","PM2.5",22.8666666633333
2013,1,8,8,"CZ0ALIB","PM2.5",24.43333333
2013,1,8,9,"CZ0ALIB","PM2.5",24.0666666666667
2013,1,8,10,"CZ0ALIB","PM2.5",22.0999999966667
2013,1,8,11,"CZ0ALIB","PM2.5",19.2333333333333
2013,1,8,12,"CZ0ALIB","PM2.5",22.4666666633333
2013,1,8,13,"CZ0ALIB","PM2.5",28.9333333333333
2013,1,8,14,"CZ0ALIB","PM2.5",27.4333333333333
2013,1,8,15,"CZ0ALIB","PM2.5",24.6666666666667
2013,1,8,16,"CZ0ALIB","PM2.5",26.8666666633333
2013,1,8,17,"CZ0ALIB","PM2.5",29.2666666633333
2013,1,8,18,"CZ0ALIB","PM2.5",30.2
2013,1,8,19,"CZ0ALIB","PM2.5",30.1999999966667
2013,1,8,20,"CZ0ALIB","PM2.5",26.7
2013,1,8,21,"CZ0ALIB","PM2.5",23.0666666666667
2013,1,8,22,"CZ0ALIB","PM2.5",18.2333333333333
2013,1,8,23,"CZ0ALIB","PM2.5",15.6333333333333
2013,1,9,0,"CZ0ALIB","PM2.5",11.5
2013,1,9,1,"CZ0ALIB","PM2.5",9.13333333
2013,1,9,2,"CZ0ALIB","PM2.5",7.76666666666667
2013,1,9,3,"CZ0ALIB","PM2.5",5.73333333333333
2013,1,9,4,"CZ0ALIB","PM2.5",6.6
2013,1,9,5,"CZ0ALIB","PM2.5",7.66666666666667
2013,1,9,6,"CZ0ALIB","PM2.5",6.99999999666667
2013,1,9,7,"CZ0ALIB","PM2.5",8.73333333
2013,1,9,8,"CZ0ALIB","PM2.5",9.93333333333333
2013,1,9,9,"CZ0ALIB","PM2.5",10.0666666666667
2013,1,9,10,"CZ0ALIB","PM2.5",9.76666666666667
2013,1,9,11,"CZ0ALIB","PM2.5",8.13333333
2013,1,9,12,"CZ0ALIB","PM2.5",7.46666666666667
2013,1,9,13,"CZ0ALIB","PM2.5",7.23333333333333
2013,1,9,14,"CZ0ALIB","PM2.5",7.23333333
2013,1,9,15,"CZ0ALIB","PM2.5",7.23333333
2013,1,9,16,"CZ0ALIB","PM2.5",8.26666666666667
2013,1,9,17,"CZ0ALIB","PM2.5",11.0666666666667
2013,1,9,18,"CZ0ALIB","PM2.5",11.6666666633333
2013,1,9,19,"CZ0ALIB","PM2.5",10.8666666666667
2013,1,9,20,"CZ0ALIB","PM2.5",11.4
2013,1,9,21,"CZ0ALIB","PM2.5",11.0666666666667
2013,1,9,22,"CZ0ALIB","PM2.5",10.63333333
2013,1,9,23,"CZ0ALIB","PM2.5",11.3333333333333
2013,1,10,0,"CZ0ALIB","PM2.5",13.6999999966667
2013,1,10,1,"CZ0ALIB","PM2.5",11.1666666633333
2013,1,10,2,"CZ0ALIB","PM2.5",9.4
2013,1,10,3,"CZ0ALIB","PM2.5",10.3333333333333
2013,1,10,4,"CZ0ALIB","PM2.5",9.33333333333333
2013,1,10,5,"CZ0ALIB","PM2.5",7.26666666333333
2013,1,10,6,"CZ0ALIB","PM2.5",5.66666666333333
2013,1,10,7,"CZ0ALIB","PM2.5",5
2013,1,10,8,"CZ0ALIB","PM2.5",6.76666666666667
2013,1,10,9,"CZ0ALIB","PM2.5",8.16666666666667
2013,1,10,10,"CZ0ALIB","PM2.5",6.2
2013,1,10,11,"CZ0ALIB","PM2.5",5.16666666333333
2013,1,10,12,"CZ0ALIB","PM2.5",7.53333333333333
2013,1,10,13,"CZ0ALIB","PM2.5",9.49999999666667
2013,1,10,14,"CZ0ALIB","PM2.5",10.3
2013,1,10,15,"CZ0ALIB","PM2.5",10.2333333333333
2013,1,10,16,"CZ0ALIB","PM2.5",9.5
2013,1,10,17,"CZ0ALIB","PM2.5",10.2666666633333
2013,1,10,18,"CZ0ALIB","PM2.5",11.6666666666667
2013,1,10,19,"CZ0ALIB","PM2.5",13.8333333333333
2013,1,10,20,"CZ0ALIB","PM2.5",12.4999999966667
2013,1,10,21,"CZ0ALIB","PM2.5",11.7333333333333
2013,1,10,22,"CZ0ALIB","PM2.5",12.1666666666667
2013,1,10,23,"CZ0ALIB","PM2.5",11.9666666666667
2013,1,11,0,"CZ0ALIB","PM2.5",11.8666666666667
2013,1,11,1,"CZ0ALIB","PM2.5",10.8333333333333
2013,1,11,2,"CZ0ALIB","PM2.5",8.3
2013,1,11,3,"CZ0ALIB","PM2.5",6.76666666333333
2013,1,11,4,"CZ0ALIB","PM2.5",5.7
2013,1,11,5,"CZ0ALIB","PM2.5",4.69999999666667
2013,1,11,6,"CZ0ALIB","PM2.5",5.6
2013,1,11,7,"CZ0ALIB","PM2.5",7.2
2013,1,11,8,"CZ0ALIB","PM2.5",8.23333333333333
2013,1,11,9,"CZ0ALIB","PM2.5",7.96666666666667
2013,1,11,10,"CZ0ALIB","PM2.5",6.56666666666667
2013,1,11,11,"CZ0ALIB","PM2.5",4.86666666666667
2013,1,11,12,"CZ0ALIB","PM2.5",4.23333333
2013,1,11,13,"CZ0ALIB","PM2.5",4.26666666666667
2013,1,11,14,"CZ0ALIB","PM2.5",3.83333333
2013,1,11,15,"CZ0ALIB","PM2.5",3.8
2013,1,11,16,"CZ0ALIB","PM2.5",4.56666666333333
2013,1,11,17,"CZ0ALIB","PM2.5",5.9
2013,1,11,18,"CZ0ALIB","PM2.5",6.53333333333333
2013,1,11,19,"CZ0ALIB","PM2.5",6.79999999666667
2013,1,11,20,"CZ0ALIB","PM2.5",7.9
2013,1,11,21,"CZ0ALIB","PM2.5",9.33333333333333
2013,1,11,22,"CZ0ALIB","PM2.5",10.6666666666667
2013,1,11,23,"CZ0ALIB","PM2.5",10.1
2013,1,12,0,"CZ0ALIB","PM2.5",8.39999999666667
2013,1,12,1,"CZ0ALIB","PM2.5",7.99999999666667
2013,1,12,2,"CZ0ALIB","PM2.5",9.49999999666667
2013,1,12,3,"CZ0ALIB","PM2.5",11.0666666633333
2013,1,12,4,"CZ0ALIB","PM2.5",9.83333333333333
2013,1,12,5,"CZ0ALIB","PM2.5",8.4
2013,1,12,6,"CZ0ALIB","PM2.5",9.03333333
2013,1,12,7,"CZ0ALIB","PM2.5",10.5
2013,1,12,8,"CZ0ALIB","PM2.5",11.3333333333333
2013,1,12,9,"CZ0ALIB","PM2.5",10.7666666666667
2013,1,12,10,"CZ0ALIB","PM2.5",9.66666666666667
2013,1,12,11,"CZ0ALIB","PM2.5",8.1
2013,1,12,12,"CZ0ALIB","PM2.5",6.76666666666667
2013,1,12,13,"CZ0ALIB","PM2.5",8.46666666666667
2013,1,12,14,"CZ0ALIB","PM2.5",10.5666666666667
2013,1,12,15,"CZ0ALIB","PM2.5",10.9
2013,1,12,16,"CZ0ALIB","PM2.5",10.4666666666667
2013,1,12,17,"CZ0ALIB","PM2.5",10.6333333333333
2013,1,12,18,"CZ0ALIB","PM2.5",12.5333333333333
2013,1,12,19,"CZ0ALIB","PM2.5",12.6666666666667
2013,1,12,20,"CZ0ALIB","PM2.5",17.8333333333333
2013,1,12,21,"CZ0ALIB","PM2.5",31.0666666666667
2013,1,12,22,"CZ0ALIB","PM2.5",34.9666666633333
2013,1,12,23,"CZ0ALIB","PM2.5",32.03333333
2013,1,13,0,"CZ0ALIB","PM2.5",32.6999999966667
2013,1,13,1,"CZ0ALIB","PM2.5",33.9333333333333
2013,1,13,2,"CZ0ALIB","PM2.5",32.8333333333333
2013,1,13,3,"CZ0ALIB","PM2.5",32.7333333333333
2013,1,13,4,"CZ0ALIB","PM2.5",31.0666666666667
2013,1,13,5,"CZ0ALIB","PM2.5",27.2333333333333
2013,1,13,6,"CZ0ALIB","PM2.5",25.6
2013,1,13,7,"CZ0ALIB","PM2.5",24.5666666666667
2013,1,13,8,"CZ0ALIB","PM2.5",22.5666666666667
2013,1,13,9,"CZ0ALIB","PM2.5",21.5333333333333
2013,1,13,10,"CZ0ALIB","PM2.5",21.5999999966667
2013,1,13,11,"CZ0ALIB","PM2.5",23.9666666633333
2013,1,13,12,"CZ0ALIB","PM2.5",17.9
2013,1,13,13,"CZ0ALIB","PM2.5",11.6333333333333
2013,1,13,14,"CZ0ALIB","PM2.5",10.7
2013,1,13,15,"CZ0ALIB","PM2.5",12.1666666666667
2013,1,13,16,"CZ0ALIB","PM2.5",20.7333333333333
2013,1,13,17,"CZ0ALIB","PM2.5",23.23333333
2013,1,13,18,"CZ0ALIB","PM2.5",25.0333333333333
2013,1,13,19,"CZ0ALIB","PM2.5",24.7666666666667
2013,1,13,20,"CZ0ALIB","PM2.5",27.5333333333333
2013,1,13,21,"CZ0ALIB","PM2.5",32.4333333333333
2013,1,13,22,"CZ0ALIB","PM2.5",34.3333333333333
2013,1,13,23,"CZ0ALIB","PM2.5",31.5666666666667
2013,1,14,0,"CZ0ALIB","PM2.5",29.9666666666667
2013,1,14,1,"CZ0ALIB","PM2.5",29.1666666633333
2013,1,14,2,"CZ0ALIB","PM2.5",28.2666666666667
2013,1,14,3,"CZ0ALIB","PM2.5",29.2666666666667
2013,1,14,4,"CZ0ALIB","PM2.5",26.83333333
2013,1,14,5,"CZ0ALIB","PM2.5",28.4333333333333
2013,1,14,6,"CZ0ALIB","PM2.5",27.2666666666667
