"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2013,1,1,0,"CZ0AVYN","NO2",50.50056
2013,1,1,1,"CZ0AVYN","NO2",45.0169133333333
2013,1,1,2,"CZ0AVYN","NO2",42.27508999
2013,1,1,3,"CZ0AVYN","NO2",45.33573
2013,1,1,4,"CZ0AVYN","NO2",38.4492893333333
2013,1,1,5,"CZ0AVYN","NO2",33.47575
2013,1,1,6,"CZ0AVYN","NO2",36.15381
2013,1,1,7,"CZ0AVYN","NO2",31.4990866633333
2013,1,1,8,"CZ0AVYN","NO2",30.2238196633333
2013,1,1,9,"CZ0AVYN","NO2",22.2534033333333
2013,1,1,10,"CZ0AVYN","NO2",16.3871766666667
2013,1,1,11,"CZ0AVYN","NO2",14.41051333
2013,1,1,12,"CZ0AVYN","NO2",15.8133066666667
2013,1,1,13,"CZ0AVYN","NO2",18.6188929966667
2013,1,1,14,"CZ0AVYN","NO2",21.5520066633333
2013,1,1,15,"CZ0AVYN","NO2",24.6126466666667
2013,1,1,16,"CZ0AVYN","NO2",28.0558666666667
2013,1,1,17,"CZ0AVYN","NO2",29.3948966666667
2013,1,1,18,"CZ0AVYN","NO2",30.9889799966667
2013,1,1,19,"CZ0AVYN","NO2",30.2238196633333
2013,1,1,20,"CZ0AVYN","NO2",28.0558666633333
2013,1,1,21,"CZ0AVYN","NO2",32.0729566633333
2013,1,1,22,"CZ0AVYN","NO2",36.855206
2013,1,1,23,"CZ0AVYN","NO2",31.0527426633333
2013,1,2,0,"CZ0AVYN","NO2",27.16318
2013,1,2,1,"CZ0AVYN","NO2",26.97188999
2013,1,2,2,"CZ0AVYN","NO2",16.06836
2013,1,2,3,"CZ0AVYN","NO2",17.9812599966667
2013,1,2,4,"CZ0AVYN","NO2",31.1802699966667
2013,1,2,5,"CZ0AVYN","NO2",58.72602933
2013,1,2,6,"CZ0AVYN","NO2",76.9623433333333
2013,1,2,7,"CZ0AVYN","NO2",84.80523333
2013,1,2,8,"CZ0AVYN","NO2",72.94525333
2013,1,2,9,"CZ0AVYN","NO2",54.90023
2013,1,2,10,"CZ0AVYN","NO2",41.1911126633333
2013,1,2,11,"CZ0AVYN","NO2",30.9889799966667
2013,1,2,12,"CZ0AVYN","NO2",29.8412396666667
2013,1,2,13,"CZ0AVYN","NO2",28.5022099966667
2013,1,2,14,"CZ0AVYN","NO2",33.0931699966667
2013,1,2,15,"CZ0AVYN","NO2",43.2315399966667
2013,1,2,16,"CZ0AVYN","NO2",46.6109966666667
2013,1,2,17,"CZ0AVYN","NO2",42.53014333
2013,1,2,18,"CZ0AVYN","NO2",35.4524133333333
2013,1,2,19,"CZ0AVYN","NO2",30.2238199966667
2013,1,2,20,"CZ0AVYN","NO2",27.0994166633333
2013,1,2,21,"CZ0AVYN","NO2",24.67641
2013,1,2,22,"CZ0AVYN","NO2",22.7635099966667
2013,1,2,23,"CZ0AVYN","NO2",20.7868466666667
2013,1,3,0,"CZ0AVYN","NO2",20.08545
2013,1,3,1,"CZ0AVYN","NO2",18.17255
2013,1,3,2,"CZ0AVYN","NO2",20.2129766666667
2013,1,3,3,"CZ0AVYN","NO2",19.9579233333333
2013,1,3,4,"CZ0AVYN","NO2",19.0652366666667
2013,1,3,5,"CZ0AVYN","NO2",21.87082333
2013,1,3,6,"CZ0AVYN","NO2",28.31092
2013,1,3,7,"CZ0AVYN","NO2",30.5426366633333
2013,1,3,8,"CZ0AVYN","NO2",32.96564333
2013,1,3,9,"CZ0AVYN","NO2",33.2206966666667
2013,1,3,10,"CZ0AVYN","NO2",32.5830633333333
2013,1,3,11,"CZ0AVYN","NO2",32.3917733333333
2013,1,3,12,"CZ0AVYN","NO2",33.4757499966667
2013,1,3,13,"CZ0AVYN","NO2",35.5799393333333
2013,1,3,14,"CZ0AVYN","NO2",38.258
2013,1,3,15,"CZ0AVYN","NO2",42.4026166633333
2013,1,3,16,"CZ0AVYN","NO2",42.5939066633333
2013,1,3,17,"CZ0AVYN","NO2",36.15381
2013,1,3,18,"CZ0AVYN","NO2",29.07608
2013,1,3,19,"CZ0AVYN","NO2",25.4415699966667
2013,1,3,20,"CZ0AVYN","NO2",22.5084563333333
2013,1,3,21,"CZ0AVYN","NO2",20.91437333
2013,1,3,22,"CZ0AVYN","NO2",20.531793
2013,1,3,23,"CZ0AVYN","NO2",20.468029
2013,1,4,0,"CZ0AVYN","NO2",13.96417
2013,1,4,1,"CZ0AVYN","NO2",13.0714831666667
2013,1,4,2,"CZ0AVYN","NO2",13.2627733333333
2013,1,4,3,"CZ0AVYN","NO2",18.0450233333333
2013,1,4,4,"CZ0AVYN","NO2",20.7868466666667
2013,1,4,5,"CZ0AVYN","NO2",35.069833
2013,1,4,6,"CZ0AVYN","NO2",46.54723233
2013,1,4,7,"CZ0AVYN","NO2",43.42283
2013,1,4,8,"CZ0AVYN","NO2",44.95315
2013,1,4,9,"CZ0AVYN","NO2",52.03088
2013,1,4,10,"CZ0AVYN","NO2",39.97961
2013,1,4,11,"CZ0AVYN","NO2",28.50221
2013,1,4,12,"CZ0AVYN","NO2",30.3513466633333
2013,1,4,13,"CZ0AVYN","NO2",37.55660333
2013,1,4,14,"CZ0AVYN","NO2",48.4601333333333
2013,1,4,15,"CZ0AVYN","NO2",54.1350693333333
2013,1,4,16,"CZ0AVYN","NO2",42.65767
2013,1,4,17,"CZ0AVYN","NO2",32.8381166633333
2013,1,4,18,"CZ0AVYN","NO2",30.3513466666667
2013,1,4,19,"CZ0AVYN","NO2",35.1335966666667
2013,1,4,20,"CZ0AVYN","NO2",32.455536
2013,1,4,21,"CZ0AVYN","NO2",22.6997466633333
2013,1,4,22,"CZ0AVYN","NO2",19.129
2013,1,4,23,"CZ0AVYN","NO2",13.00772
2013,1,5,0,"CZ0AVYN","NO2",12.1150333333333
2013,1,5,1,"CZ0AVYN","NO2",9.24568333333333
2013,1,5,2,"CZ0AVYN","NO2",7.77912666333333
2013,1,5,3,"CZ0AVYN","NO2",7.52407333333333
2013,1,5,4,"CZ0AVYN","NO2",9.75578999666667
2013,1,5,5,"CZ0AVYN","NO2",13.0714833333333
2013,1,5,6,"CZ0AVYN","NO2",14.9206196666667
2013,1,5,7,"CZ0AVYN","NO2",18.36384
2013,1,5,8,"CZ0AVYN","NO2",20.2767399966667
2013,1,5,9,"CZ0AVYN","NO2",23.401143
2013,1,5,10,"CZ0AVYN","NO2",22.1896396666667
2013,1,5,11,"CZ0AVYN","NO2",19.44781633
2013,1,5,12,"CZ0AVYN","NO2",22.3171666666667
2013,1,5,13,"CZ0AVYN","NO2",24.3575933333333
2013,1,5,14,"CZ0AVYN","NO2",24.740173
2013,1,5,15,"CZ0AVYN","NO2",29.331133
2013,1,5,16,"CZ0AVYN","NO2",28.5022096666667
2013,1,5,17,"CZ0AVYN","NO2",27.99210333
2013,1,5,18,"CZ0AVYN","NO2",26.9718896666667
2013,1,5,19,"CZ0AVYN","NO2",28.2471566666667
2013,1,5,20,"CZ0AVYN","NO2",25.5690966666667
2013,1,5,21,"CZ0AVYN","NO2",23.71996
