"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2016,6,18,1,"CZ0BKUC","PM2.5",12
2016,6,18,2,"CZ0BKUC","PM2.5",10
2016,6,18,3,"CZ0BKUC","PM2.5",9
2016,6,18,4,"CZ0BKUC","PM2.5",8
2016,6,18,5,"CZ0BKUC","PM2.5",9
2016,6,18,6,"CZ0BKUC","PM2.5",9
2016,6,18,7,"CZ0BKUC","PM2.5",7
2016,6,18,8,"CZ0BKUC","PM2.5",12
2016,6,18,9,"CZ0BKUC","PM2.5",8
2016,6,18,10,"CZ0BKUC","PM2.5",7
2016,6,18,11,"CZ0BKUC","PM2.5",8
2016,6,18,12,"CZ0BKUC","PM2.5",7
2016,6,18,13,"CZ0BKUC","PM2.5",11
2016,6,18,14,"CZ0BKUC","PM2.5",9
2016,6,18,15,"CZ0BKUC","PM2.5",11
2016,6,18,16,"CZ0BKUC","PM2.5",6
2016,6,18,17,"CZ0BKUC","PM2.5",4
2016,6,18,18,"CZ0BKUC","PM2.5",6
2016,6,18,19,"CZ0BKUC","PM2.5",9
2016,6,18,20,"CZ0BKUC","PM2.5",12
2016,6,18,21,"CZ0BKUC","PM2.5",10
2016,6,18,22,"CZ0BKUC","PM2.5",12
2016,6,18,23,"CZ0BKUC","PM2.5",10
2016,6,19,0,"CZ0BKUC","PM2.5",7
2016,6,19,1,"CZ0BKUC","PM2.5",7
2016,6,19,2,"CZ0BKUC","PM2.5",6
2016,6,19,3,"CZ0BKUC","PM2.5",10
2016,6,19,4,"CZ0BKUC","PM2.5",13
2016,6,19,5,"CZ0BKUC","PM2.5",9
2016,6,19,6,"CZ0BKUC","PM2.5",9
2016,6,19,7,"CZ0BKUC","PM2.5",10
2016,6,19,8,"CZ0BKUC","PM2.5",8
2016,6,19,9,"CZ0BKUC","PM2.5",8
2016,6,19,10,"CZ0BKUC","PM2.5",7
2016,6,19,11,"CZ0BKUC","PM2.5",7
2016,6,19,12,"CZ0BKUC","PM2.5",10
2016,6,19,13,"CZ0BKUC","PM2.5",7
2016,6,19,14,"CZ0BKUC","PM2.5",8
2016,6,19,15,"CZ0BKUC","PM2.5",9
2016,6,19,16,"CZ0BKUC","PM2.5",8
2016,6,19,17,"CZ0BKUC","PM2.5",6
2016,6,19,18,"CZ0BKUC","PM2.5",10
2016,6,19,19,"CZ0BKUC","PM2.5",12
2016,6,19,20,"CZ0BKUC","PM2.5",11
2016,6,19,21,"CZ0BKUC","PM2.5",12
2016,6,19,22,"CZ0BKUC","PM2.5",14
2016,6,19,23,"CZ0BKUC","PM2.5",9
2016,6,20,0,"CZ0BKUC","PM2.5",8
2016,6,20,1,"CZ0BKUC","PM2.5",9
2016,6,20,2,"CZ0BKUC","PM2.5",6
2016,6,20,3,"CZ0BKUC","PM2.5",15
2016,6,20,4,"CZ0BKUC","PM2.5",13
2016,6,20,5,"CZ0BKUC","PM2.5",11
2016,6,20,6,"CZ0BKUC","PM2.5",12
2016,6,20,7,"CZ0BKUC","PM2.5",11
2016,6,20,8,"CZ0BKUC","PM2.5",16
2016,6,20,9,"CZ0BKUC","PM2.5",11
2016,6,20,10,"CZ0BKUC","PM2.5",11
2016,6,20,11,"CZ0BKUC","PM2.5",12
2016,6,20,12,"CZ0BKUC","PM2.5",15
2016,6,20,13,"CZ0BKUC","PM2.5",11
2016,6,20,14,"CZ0BKUC","PM2.5",10
2016,6,20,15,"CZ0BKUC","PM2.5",12
2016,6,20,16,"CZ0BKUC","PM2.5",12
2016,6,20,17,"CZ0BKUC","PM2.5",13
2016,6,20,18,"CZ0BKUC","PM2.5",11
2016,6,20,19,"CZ0BKUC","PM2.5",16
2016,6,20,20,"CZ0BKUC","PM2.5",12
2016,6,20,21,"CZ0BKUC","PM2.5",11
2016,6,20,22,"CZ0BKUC","PM2.5",14
2016,6,20,23,"CZ0BKUC","PM2.5",20
2016,6,21,0,"CZ0BKUC","PM2.5",14
2016,6,21,1,"CZ0BKUC","PM2.5",12
2016,6,21,2,"CZ0BKUC","PM2.5",17
2016,6,21,3,"CZ0BKUC","PM2.5",12
2016,6,21,4,"CZ0BKUC","PM2.5",14
2016,6,21,5,"CZ0BKUC","PM2.5",9
2016,6,21,6,"CZ0BKUC","PM2.5",14
2016,6,21,7,"CZ0BKUC","PM2.5",15
2016,6,21,8,"CZ0BKUC","PM2.5",19
2016,6,21,9,"CZ0BKUC","PM2.5",9
