"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2013,1,1,0,"CZ0PPLV","NO2",20.46803
2013,1,1,1,"CZ0PPLV","NO2",21.3607163333333
2013,1,1,2,"CZ0PPLV","NO2",27.16318
2013,1,1,3,"CZ0PPLV","NO2",22.9547999966667
2013,1,1,4,"CZ0PPLV","NO2",16.0683599966667
2013,1,1,5,"CZ0PPLV","NO2",19.575343
2013,1,1,6,"CZ0PPLV","NO2",30.7339266666667
2013,1,1,7,"CZ0PPLV","NO2",27.35447
2013,1,1,8,"CZ0PPLV","NO2",23.14609
2013,1,1,9,"CZ0PPLV","NO2",26.7805999966667
2013,1,1,10,"CZ0PPLV","NO2",27.8008129966667
2013,1,1,11,"CZ0PPLV","NO2",21.10566333
2013,1,1,12,"CZ0PPLV","NO2",15.8133066633333
2013,1,1,13,"CZ0PPLV","NO2",21.48824333
2013,1,1,14,"CZ0PPLV","NO2",21.679533
2013,1,1,15,"CZ0PPLV","NO2",16.1321233333333
2013,1,1,16,"CZ0PPLV","NO2",13.3902996666667
2013,1,1,17,"CZ0PPLV","NO2",13.2627733333333
2013,1,1,18,"CZ0PPLV","NO2",14.2829866666667
2013,1,1,19,"CZ0PPLV","NO2",13.83664333
2013,1,1,20,"CZ0PPLV","NO2",13.3903
2013,1,1,21,"CZ0PPLV","NO2",15.3032
2013,1,1,22,"CZ0PPLV","NO2",16.45094
2013,1,1,23,"CZ0PPLV","NO2",13.071483
2013,1,2,0,"CZ0PPLV","NO2",10.32966
2013,1,2,1,"CZ0PPLV","NO2",8.92686599666667
2013,1,2,2,"CZ0PPLV","NO2",4.84601316333333
2013,1,2,3,"CZ0PPLV","NO2",4.4634333
2013,1,2,4,"CZ0PPLV","NO2",13.3265365666667
2013,1,2,5,"CZ0PPLV","NO2",31.9454299966667
2013,1,2,6,"CZ0PPLV","NO2",48.1413166633333
2013,1,2,7,"CZ0PPLV","NO2",43.8054093333333
2013,1,2,8,"CZ0PPLV","NO2",38.258
2013,1,2,9,"CZ0PPLV","NO2",30.542636
2013,1,2,10,"CZ0PPLV","NO2",18.9377099966667
2013,1,2,11,"CZ0PPLV","NO2",12.62514
2013,1,2,12,"CZ0PPLV","NO2",11.47739999
2013,1,2,16,"CZ0PPLV","NO2",16.25965
2013,1,2,17,"CZ0PPLV","NO2",18.4276033333333
2013,1,2,18,"CZ0PPLV","NO2",19.38405333
2013,1,2,19,"CZ0PPLV","NO2",19.32029
2013,1,2,20,"CZ0PPLV","NO2",28.11963
2013,1,2,21,"CZ0PPLV","NO2",24.166303
2013,1,2,22,"CZ0PPLV","NO2",20.5317933333333
2013,1,2,23,"CZ0PPLV","NO2",17.02481
2013,1,3,0,"CZ0PPLV","NO2",13.5178266633333
2013,1,3,1,"CZ0PPLV","NO2",11.4136366666667
2013,1,3,2,"CZ0PPLV","NO2",10.52095
2013,1,3,3,"CZ0PPLV","NO2",10.9672929966667
2013,1,3,4,"CZ0PPLV","NO2",11.9237433333333
2013,1,3,5,"CZ0PPLV","NO2",13.262773
2013,1,3,6,"CZ0PPLV","NO2",16.06836
2013,1,3,7,"CZ0PPLV","NO2",21.296953
2013,1,3,8,"CZ0PPLV","NO2",22.9548
2013,1,3,9,"CZ0PPLV","NO2",22.38093
2013,1,3,10,"CZ0PPLV","NO2",22.6997466666667
2013,1,3,11,"CZ0PPLV","NO2",24.1025399966667
2013,1,3,12,"CZ0PPLV","NO2",25.314043
2013,1,3,13,"CZ0PPLV","NO2",28.0558666666667
2013,1,3,14,"CZ0PPLV","NO2",26.0792033333333
2013,1,3,15,"CZ0PPLV","NO2",25.7603863333333
2013,1,3,16,"CZ0PPLV","NO2",26.9081266633333
2013,1,3,17,"CZ0PPLV","NO2",19.51158
2013,1,3,18,"CZ0PPLV","NO2",15.68577999
2013,1,3,19,"CZ0PPLV","NO2",18.74642
2013,1,3,20,"CZ0PPLV","NO2",18.74642
2013,1,3,21,"CZ0PPLV","NO2",17.98126
2013,1,3,22,"CZ0PPLV","NO2",17.0885733333333
2013,1,3,23,"CZ0PPLV","NO2",16.19588633
2013,1,4,0,"CZ0PPLV","NO2",21.6157696666667
2013,1,4,1,"CZ0PPLV","NO2",16.705993
2013,1,4,2,"CZ0PPLV","NO2",12.3063233333333
2013,1,4,3,"CZ0PPLV","NO2",14.72933
