"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2013,1,1,0,"CZ0TCEL","PM2.5",10
2013,1,2,0,"CZ0TCEL","PM2.5",16
2013,1,3,0,"CZ0TCEL","PM2.5",6
2013,1,4,0,"CZ0TCEL","PM2.5",8
2013,1,5,0,"CZ0TCEL","PM2.5",14
2013,1,6,0,"CZ0TCEL","PM2.5",16
2013,1,7,0,"CZ0TCEL","PM2.5",44
2013,1,8,0,"CZ0TCEL","PM2.5",20
2013,1,9,0,"CZ0TCEL","PM2.5",17
2013,1,10,0,"CZ0TCEL","PM2.5",9
2013,1,11,0,"CZ0TCEL","PM2.5",11
2013,1,12,0,"CZ0TCEL","PM2.5",13
2013,1,13,0,"CZ0TCEL","PM2.5",96
2013,1,14,0,"CZ0TCEL","PM2.5",151
2013,1,15,0,"CZ0TCEL","PM2.5",111
2013,1,16,0,"CZ0TCEL","PM2.5",90
2013,1,17,0,"CZ0TCEL","PM2.5",52
2013,1,18,0,"CZ0TCEL","PM2.5",37
2013,1,19,0,"CZ0TCEL","PM2.5",95
2013,1,20,0,"CZ0TCEL","PM2.5",156
2013,1,21,0,"CZ0TCEL","PM2.5",77
2013,1,22,0,"CZ0TCEL","PM2.5",101
2013,1,23,0,"CZ0TCEL","PM2.5",128
2013,1,24,0,"CZ0TCEL","PM2.5",117
2013,1,25,0,"CZ0TCEL","PM2.5",59
2013,1,26,0,"CZ0TCEL","PM2.5",66
2013,1,27,0,"CZ0TCEL","PM2.5",32
2013,1,28,0,"CZ0TCEL","PM2.5",30
2013,1,29,0,"CZ0TCEL","PM2.5",6
2013,1,30,0,"CZ0TCEL","PM2.5",2
2013,1,31,0,"CZ0TCEL","PM2.5",6
2013,2,1,0,"CZ0TCEL","PM2.5",7
2013,2,2,0,"CZ0TCEL","PM2.5",7
2013,2,3,0,"CZ0TCEL","PM2.5",17
2013,2,4,0,"CZ0TCEL","PM2.5",2
2013,2,5,0,"CZ0TCEL","PM2.5",5
2013,2,6,0,"CZ0TCEL","PM2.5",34
2013,2,7,0,"CZ0TCEL","PM2.5",45
2013,2,8,0,"CZ0TCEL","PM2.5",57
2013,2,9,0,"CZ0TCEL","PM2.5",45
2013,2,10,0,"CZ0TCEL","PM2.5",52
2013,2,11,0,"CZ0TCEL","PM2.5",21
2013,2,12,0,"CZ0TCEL","PM2.5",105
2013,2,13,0,"CZ0TCEL","PM2.5",107
2013,2,14,0,"CZ0TCEL","PM2.5",88
2013,2,15,0,"CZ0TCEL","PM2.5",140
2013,2,16,0,"CZ0TCEL","PM2.5",99
2013,2,17,0,"CZ0TCEL","PM2.5",77
2013,2,18,0,"CZ0TCEL","PM2.5",44
2013,2,19,0,"CZ0TCEL","PM2.5",14
