"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2016,1,1,0,"CZ0THAT","PM10",76.79999999
2016,1,2,0,"CZ0THAT","PM10",75.29999999
2016,1,3,0,"CZ0THAT","PM10",168.4
2016,1,4,0,"CZ0THAT","PM10",137.3
2016,1,5,0,"CZ0THAT","PM10",43.6
2016,1,6,0,"CZ0THAT","PM10",59.5
2016,1,7,0,"CZ0THAT","PM10",184.8
2016,1,8,0,"CZ0THAT","PM10",36.5
2016,1,9,0,"CZ0THAT","PM10",169.3
2016,1,10,0,"CZ0THAT","PM10",28.6
2016,1,11,0,"CZ0THAT","PM10",52.2
2016,1,12,0,"CZ0THAT","PM10",9.5
2016,1,13,0,"CZ0THAT","PM10",11
2016,1,14,0,"CZ0THAT","PM10",57.79999999
2016,1,15,0,"CZ0THAT","PM10",33.7
2016,1,16,0,"CZ0THAT","PM10",92.9
2016,1,17,0,"CZ0THAT","PM10",127.2
2016,1,18,0,"CZ0THAT","PM10",153.4
2016,1,19,0,"CZ0THAT","PM10",116
2016,1,20,0,"CZ0THAT","PM10",51.79999999
2016,1,21,0,"CZ0THAT","PM10",39.29999999
2016,1,22,0,"CZ0THAT","PM10",128.3
2016,1,23,0,"CZ0THAT","PM10",58.2
2016,1,24,0,"CZ0THAT","PM10",69
2016,1,25,0,"CZ0THAT","PM10",20.19999999
2016,1,26,0,"CZ0THAT","PM10",22
2016,1,27,0,"CZ0THAT","PM10",20.1
2016,1,28,0,"CZ0THAT","PM10",58.1
2016,1,29,0,"CZ0THAT","PM10",18.5
2016,1,30,0,"CZ0THAT","PM10",18.6
2016,1,31,0,"CZ0THAT","PM10",8.19999999
2016,2,1,0,"CZ0THAT","PM10",9.19999999
2016,2,2,0,"CZ0THAT","PM10",7.59999999
2016,2,3,0,"CZ0THAT","PM10",20.3
2016,2,4,0,"CZ0THAT","PM10",12.9
2016,2,5,0,"CZ0THAT","PM10",20.3
2016,2,6,0,"CZ0THAT","PM10",17.3
2016,2,7,0,"CZ0THAT","PM10",18.3
2016,2,8,0,"CZ0THAT","PM10",13.19999999
2016,2,9,0,"CZ0THAT","PM10",6.2
2016,2,10,0,"CZ0THAT","PM10",13.5
2016,2,11,0,"CZ0THAT","PM10",11.5
2016,2,12,0,"CZ0THAT","PM10",34
2016,2,13,0,"CZ0THAT","PM10",79
2016,2,14,0,"CZ0THAT","PM10",25.1
2016,2,15,0,"CZ0THAT","PM10",29.3
2016,2,16,0,"CZ0THAT","PM10",29.39999999
2016,2,17,0,"CZ0THAT","PM10",46.2
2016,2,18,0,"CZ0THAT","PM10",82.5
2016,2,19,0,"CZ0THAT","PM10",29.89999999
2016,2,20,0,"CZ0THAT","PM10",14.3
2016,2,21,0,"CZ0THAT","PM10",7.9
2016,2,22,0,"CZ0THAT","PM10",21.8
2016,2,23,0,"CZ0THAT","PM10",28.39999999
2016,2,24,0,"CZ0THAT","PM10",32.7
2016,2,25,0,"CZ0THAT","PM10",52.89999999
2016,2,26,0,"CZ0THAT","PM10",96.5
2016,2,27,0,"CZ0THAT","PM10",69
2016,2,28,0,"CZ0THAT","PM10",72.4
2016,2,29,0,"CZ0THAT","PM10",44
2016,3,1,0,"CZ0THAT","PM10",25.89999999
2016,3,2,0,"CZ0THAT","PM10",43.6
2016,3,3,0,"CZ0THAT","PM10",36.89999999
2016,3,4,0,"CZ0THAT","PM10",88
2016,3,5,0,"CZ0THAT","PM10",34.7
2016,3,6,0,"CZ0THAT","PM10",54.5
2016,3,7,0,"CZ0THAT","PM10",53.79999999
2016,3,8,0,"CZ0THAT","PM10",43.39999999
2016,3,9,0,"CZ0THAT","PM10",75.9
2016,3,10,0,"CZ0THAT","PM10",54.79999999
2016,3,11,0,"CZ0THAT","PM10",31.5
2016,3,12,0,"CZ0THAT","PM10",33.7
2016,3,13,0,"CZ0THAT","PM10",36.29999999
2016,3,14,0,"CZ0THAT","PM10",46.7
2016,3,15,0,"CZ0THAT","PM10",33.5
2016,3,16,0,"CZ0THAT","PM10",63.2
2016,3,17,0,"CZ0THAT","PM10",82
2016,3,18,0,"CZ0THAT","PM10",36.29999999
2016,3,19,0,"CZ0THAT","PM10",45.89999999
2016,3,20,0,"CZ0THAT","PM10",26.1
2016,3,21,0,"CZ0THAT","PM10",19.8
2016,3,22,0,"CZ0THAT","PM10",35
2016,3,23,0,"CZ0THAT","PM10",51.29999999
2016,3,24,0,"CZ0THAT","PM10",47.79999999
2016,3,25,0,"CZ0THAT","PM10",35.79999999
2016,3,30,0,"CZ0THAT","PM10",22.89999999
2016,3,31,0,"CZ0THAT","PM10",34.1
2016,4,1,0,"CZ0THAT","PM10",37.29999999
2016,4,2,0,"CZ0THAT","PM10",51.89999999
2016,4,3,0,"CZ0THAT","PM10",40
2016,4,4,0,"CZ0THAT","PM10",44.5
2016,4,5,0,"CZ0THAT","PM10",57.7
2016,4,6,0,"CZ0THAT","PM10",38.1
2016,4,7,0,"CZ0THAT","PM10",26.39999999
2016,4,8,0,"CZ0THAT","PM10",29.3
2016,4,9,0,"CZ0THAT","PM10",23.5
2016,4,10,0,"CZ0THAT","PM10",31.69999999
2016,4,11,0,"CZ0THAT","PM10",54.29999999
2016,4,12,0,"CZ0THAT","PM10",56.39999999
2016,4,13,0,"CZ0THAT","PM10",43.6
2016,4,14,0,"CZ0THAT","PM10",20.5
2016,4,15,0,"CZ0THAT","PM10",18
2016,4,16,0,"CZ0THAT","PM10",15.8
2016,4,17,0,"CZ0THAT","PM10",14.19999999
2016,4,18,0,"CZ0THAT","PM10",30.6
2016,4,19,0,"CZ0THAT","PM10",22.6
2016,4,20,0,"CZ0THAT","PM10",20.19999999
2016,4,21,0,"CZ0THAT","PM10",24.3
2016,4,22,0,"CZ0THAT","PM10",29.6
2016,4,23,0,"CZ0THAT","PM10",36.6
2016,4,24,0,"CZ0THAT","PM10",17.69999999
2016,4,25,0,"CZ0THAT","PM10",25.1
2016,4,26,0,"CZ0THAT","PM10",9.69999999
2016,4,27,0,"CZ0THAT","PM10",11.5
2016,4,28,0,"CZ0THAT","PM10",19.69999999
2016,4,29,0,"CZ0THAT","PM10",40
2016,4,30,0,"CZ0THAT","PM10",31.39999999
2016,5,1,0,"CZ0THAT","PM10",28.1
2016,5,2,0,"CZ0THAT","PM10",28.39999999
2016,5,3,0,"CZ0THAT","PM10",22
2016,5,4,0,"CZ0THAT","PM10",19.39999999
2016,5,5,0,"CZ0THAT","PM10",27.5
2016,5,6,0,"CZ0THAT","PM10",32.1
2016,5,7,0,"CZ0THAT","PM10",29.69999999
2016,5,8,0,"CZ0THAT","PM10",16.89999999
2016,5,9,0,"CZ0THAT","PM10",22.1
2016,5,10,0,"CZ0THAT","PM10",17.89999999
2016,5,11,0,"CZ0THAT","PM10",22.1
2016,5,12,0,"CZ0THAT","PM10",24.3
2016,5,13,0,"CZ0THAT","PM10",21.5
2016,5,14,0,"CZ0THAT","PM10",18.39999999
2016,5,15,0,"CZ0THAT","PM10",9.59999999
2016,5,16,0,"CZ0THAT","PM10",11.5
2016,5,17,0,"CZ0THAT","PM10",19.1
2016,5,18,0,"CZ0THAT","PM10",27
2016,5,19,0,"CZ0THAT","PM10",35.1
2016,5,20,0,"CZ0THAT","PM10",28.39999999
2016,5,21,0,"CZ0THAT","PM10",22.1
2016,5,22,0,"CZ0THAT","PM10",23.6
2016,5,23,0,"CZ0THAT","PM10",24.39999999
2016,5,24,0,"CZ0THAT","PM10",29.5
2016,5,25,0,"CZ0THAT","PM10",25.1
2016,5,26,0,"CZ0THAT","PM10",31.5
2016,5,27,0,"CZ0THAT","PM10",25.5
2016,5,28,0,"CZ0THAT","PM10",20.6
2016,5,29,0,"CZ0THAT","PM10",22.3
2016,5,30,0,"CZ0THAT","PM10",16.5
2016,5,31,0,"CZ0THAT","PM10",16
2016,6,1,0,"CZ0THAT","PM10",15.69999999
2016,6,2,0,"CZ0THAT","PM10",15
2016,6,3,0,"CZ0THAT","PM10",23.1
2016,6,4,0,"CZ0THAT","PM10",28.89999999
2016,6,5,0,"CZ0THAT","PM10",24.3
2016,6,6,0,"CZ0THAT","PM10",15.8
2016,6,7,0,"CZ0THAT","PM10",22.8
2016,6,8,0,"CZ0THAT","PM10",23
2016,6,9,0,"CZ0THAT","PM10",20
2016,6,10,0,"CZ0THAT","PM10",19.6
2016,6,11,0,"CZ0THAT","PM10",24.39999999
2016,6,12,0,"CZ0THAT","PM10",22.19999999
2016,6,13,0,"CZ0THAT","PM10",18.6
2016,6,14,0,"CZ0THAT","PM10",18
