"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2016,1,8,0,"CZ0TSUD","PM2.5",26.19999999
2016,1,9,0,"CZ0TSUD","PM2.5",157.69999999
2016,1,10,0,"CZ0TSUD","PM2.5",17.8
2016,1,12,0,"CZ0TSUD","PM2.5",5.79999999
2016,1,13,0,"CZ0TSUD","PM2.5",11.3
2016,1,14,0,"CZ0TSUD","PM2.5",38.89999999
2016,1,15,0,"CZ0TSUD","PM2.5",33.7
2016,1,16,0,"CZ0TSUD","PM2.5",54.39999999
2016,1,17,0,"CZ0TSUD","PM2.5",90.29999999
2016,1,18,0,"CZ0TSUD","PM2.5",80.4
2016,1,19,0,"CZ0TSUD","PM2.5",77.2
2016,1,20,0,"CZ0TSUD","PM2.5",38.2
2016,1,21,0,"CZ0TSUD","PM2.5",23.89999999
2016,1,22,0,"CZ0TSUD","PM2.5",86.2
2016,1,23,0,"CZ0TSUD","PM2.5",29.69999999
2016,1,24,0,"CZ0TSUD","PM2.5",36
2016,1,25,0,"CZ0TSUD","PM2.5",20.6
2016,1,26,0,"CZ0TSUD","PM2.5",20.19999999
2016,1,27,0,"CZ0TSUD","PM2.5",11.5
2016,1,28,0,"CZ0TSUD","PM2.5",28.89999999
2016,1,29,0,"CZ0TSUD","PM2.5",11.5
2016,1,30,0,"CZ0TSUD","PM2.5",14.6
2016,1,31,0,"CZ0TSUD","PM2.5",6.7
2016,2,1,0,"CZ0TSUD","PM2.5",6.4
2016,2,2,0,"CZ0TSUD","PM2.5",5.2
2016,2,3,0,"CZ0TSUD","PM2.5",16.89999999
2016,2,4,0,"CZ0TSUD","PM2.5",11.1
2016,2,5,0,"CZ0TSUD","PM2.5",17.3
2016,2,6,0,"CZ0TSUD","PM2.5",13.3
2016,2,7,0,"CZ0TSUD","PM2.5",11.69999999
2016,2,8,0,"CZ0TSUD","PM2.5",9.8
2016,2,9,0,"CZ0TSUD","PM2.5",4.59999999
2016,2,10,0,"CZ0TSUD","PM2.5",10
2016,2,11,0,"CZ0TSUD","PM2.5",9.5
2016,2,12,0,"CZ0TSUD","PM2.5",27.69999999
2016,2,13,0,"CZ0TSUD","PM2.5",51.5
2016,2,14,0,"CZ0TSUD","PM2.5",21.89999999
2016,2,15,0,"CZ0TSUD","PM2.5",22.39999999
2016,2,16,0,"CZ0TSUD","PM2.5",21.6
2016,2,17,0,"CZ0TSUD","PM2.5",35.79999999
