"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2017,1,9,0,"CZ0TVRZ","PM10",92.7
2017,1,10,0,"CZ0TVRZ","PM10",55.29999999
2017,1,11,0,"CZ0TVRZ","PM10",39.89999999
2017,1,12,0,"CZ0TVRZ","PM10",38.29999999
2017,1,13,0,"CZ0TVRZ","PM10",13.5
2017,1,15,0,"CZ0TVRZ","PM10",28
2017,1,16,0,"CZ0TVRZ","PM10",58.89999999
2017,1,17,0,"CZ0TVRZ","PM10",57.5
2017,1,18,0,"CZ0TVRZ","PM10",60.39999999
2017,1,19,0,"CZ0TVRZ","PM10",87.4
2017,1,21,0,"CZ0TVRZ","PM10",111.8
2017,1,22,0,"CZ0TVRZ","PM10",60.2
2017,1,23,0,"CZ0TVRZ","PM10",66.29999999
2017,1,24,0,"CZ0TVRZ","PM10",94
2017,1,25,0,"CZ0TVRZ","PM10",92.4
2017,1,27,0,"CZ0TVRZ","PM10",61
2017,1,28,0,"CZ0TVRZ","PM10",51.29999999
2017,1,29,0,"CZ0TVRZ","PM10",65.4
2017,1,30,0,"CZ0TVRZ","PM10",72.7
2017,1,31,0,"CZ0TVRZ","PM10",47.6
2017,2,2,0,"CZ0TVRZ","PM10",31.19999999
2017,2,3,0,"CZ0TVRZ","PM10",50.2
2017,2,4,0,"CZ0TVRZ","PM10",108
2017,2,5,0,"CZ0TVRZ","PM10",50.1
2017,2,6,0,"CZ0TVRZ","PM10",64.4
2017,2,8,0,"CZ0TVRZ","PM10",77.4
2017,2,9,0,"CZ0TVRZ","PM10",100.8
2017,2,10,0,"CZ0TVRZ","PM10",151.3
2017,2,11,0,"CZ0TVRZ","PM10",157
2017,2,12,0,"CZ0TVRZ","PM10",141.4
2017,2,14,0,"CZ0TVRZ","PM10",97
2017,2,15,0,"CZ0TVRZ","PM10",78.09999999
2017,2,16,0,"CZ0TVRZ","PM10",113.5
2017,2,17,0,"CZ0TVRZ","PM10",57.5
2017,2,18,0,"CZ0TVRZ","PM10",60.1
2017,2,20,0,"CZ0TVRZ","PM10",36.29999999
2017,2,21,0,"CZ0TVRZ","PM10",22.8
2017,2,22,0,"CZ0TVRZ","PM10",14
2017,2,23,0,"CZ0TVRZ","PM10",15.1
2017,2,24,0,"CZ0TVRZ","PM10",15.8
2017,2,26,0,"CZ0TVRZ","PM10",20.6
2017,2,27,0,"CZ0TVRZ","PM10",31.3
2017,2,28,0,"CZ0TVRZ","PM10",24.3
2017,3,1,0,"CZ0TVRZ","PM10",18.6
2017,3,2,0,"CZ0TVRZ","PM10",15.3
2017,3,4,0,"CZ0TVRZ","PM10",15.8
2017,3,5,0,"CZ0TVRZ","PM10",12.69999999
2017,3,6,0,"CZ0TVRZ","PM10",18.6
2017,3,7,0,"CZ0TVRZ","PM10",21.8
2017,3,8,0,"CZ0TVRZ","PM10",42.5
2017,3,10,0,"CZ0TVRZ","PM10",23.19999999
2017,3,11,0,"CZ0TVRZ","PM10",25.69999999
