"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2017,1,9,0,"CZ0TVRZ","PM2.5",87.79999999
2017,1,10,0,"CZ0TVRZ","PM2.5",51.7
2017,1,11,0,"CZ0TVRZ","PM2.5",36.89999999
2017,1,12,0,"CZ0TVRZ","PM2.5",35.1
2017,1,13,0,"CZ0TVRZ","PM2.5",11.5
2017,1,14,0,"CZ0TVRZ","PM2.5",17.8
2017,1,15,0,"CZ0TVRZ","PM2.5",25.19999999
2017,1,16,0,"CZ0TVRZ","PM2.5",50.5
2017,1,17,0,"CZ0TVRZ","PM2.5",54.29999999
2017,1,18,0,"CZ0TVRZ","PM2.5",54
2017,1,19,0,"CZ0TVRZ","PM2.5",83.79999999
2017,1,20,0,"CZ0TVRZ","PM2.5",94.9
2017,1,21,0,"CZ0TVRZ","PM2.5",99.79999999
2017,1,22,0,"CZ0TVRZ","PM2.5",56.29999999
2017,1,23,0,"CZ0TVRZ","PM2.5",59.79999999
2017,1,24,0,"CZ0TVRZ","PM2.5",83.29999999
2017,1,25,0,"CZ0TVRZ","PM2.5",83.2
2017,1,26,0,"CZ0TVRZ","PM2.5",61.89999999
2017,1,27,0,"CZ0TVRZ","PM2.5",56.2
2017,1,28,0,"CZ0TVRZ","PM2.5",54.29999999
2017,1,29,0,"CZ0TVRZ","PM2.5",57.7
2017,1,30,0,"CZ0TVRZ","PM2.5",64.79999999
2017,1,31,0,"CZ0TVRZ","PM2.5",45.39999999
2017,2,1,0,"CZ0TVRZ","PM2.5",105.8
2017,2,2,0,"CZ0TVRZ","PM2.5",28.89999999
2017,2,3,0,"CZ0TVRZ","PM2.5",39.5
2017,2,4,0,"CZ0TVRZ","PM2.5",100.59999999
2017,2,5,0,"CZ0TVRZ","PM2.5",46.1
2017,2,6,0,"CZ0TVRZ","PM2.5",62
2017,2,7,0,"CZ0TVRZ","PM2.5",60.5
2017,2,8,0,"CZ0TVRZ","PM2.5",69.5
2017,2,9,0,"CZ0TVRZ","PM2.5",86.9
2017,2,10,0,"CZ0TVRZ","PM2.5",135.09999999
2017,2,11,0,"CZ0TVRZ","PM2.5",138.5
2017,2,12,0,"CZ0TVRZ","PM2.5",132.9
2017,2,13,0,"CZ0TVRZ","PM2.5",116.5
2017,2,14,0,"CZ0TVRZ","PM2.5",96.09999999
2017,2,15,0,"CZ0TVRZ","PM2.5",75.4
2017,2,16,0,"CZ0TVRZ","PM2.5",104.5
2017,2,17,0,"CZ0TVRZ","PM2.5",48.2
2017,2,18,0,"CZ0TVRZ","PM2.5",52.79999999
2017,2,19,0,"CZ0TVRZ","PM2.5",43.89999999
2017,2,20,0,"CZ0TVRZ","PM2.5",34.2
2017,2,21,0,"CZ0TVRZ","PM2.5",20.89999999
2017,2,22,0,"CZ0TVRZ","PM2.5",11.69999999
2017,2,23,0,"CZ0TVRZ","PM2.5",12.5
2017,2,24,0,"CZ0TVRZ","PM2.5",9.9
2017,2,25,0,"CZ0TVRZ","PM2.5",16.8
2017,2,26,0,"CZ0TVRZ","PM2.5",16
2017,2,27,0,"CZ0TVRZ","PM2.5",21.89999999
2017,2,28,0,"CZ0TVRZ","PM2.5",18.8
2017,3,1,0,"CZ0TVRZ","PM2.5",15.5
