"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2013,1,1,0,"CZ0UULM","NO2",17.02481
2013,1,1,1,"CZ0UULM","NO2",20.723083
2013,1,1,2,"CZ0UULM","NO2",23.8474866666667
2013,1,1,3,"CZ0UULM","NO2",23.8474863333333
2013,1,1,4,"CZ0UULM","NO2",22.2534033333333
2013,1,1,5,"CZ0UULM","NO2",22.2534033333333
2013,1,1,6,"CZ0UULM","NO2",19.0014733333333
2013,1,1,7,"CZ0UULM","NO2",18.7464196666667
2013,1,1,8,"CZ0UULM","NO2",22.44469333
2013,1,1,9,"CZ0UULM","NO2",24.93146333
2013,1,1,10,"CZ0UULM","NO2",22.7635099966667
2013,1,1,11,"CZ0UULM","NO2",21.0418999966667
2013,1,1,12,"CZ0UULM","NO2",21.74329633
2013,1,1,13,"CZ0UULM","NO2",24.3575933333333
2013,1,1,14,"CZ0UULM","NO2",30.28758333
2013,1,1,15,"CZ0UULM","NO2",32.4555366666667
2013,1,1,16,"CZ0UULM","NO2",38.8318699966667
2013,1,1,17,"CZ0UULM","NO2",41.7012189966667
2013,1,1,18,"CZ0UULM","NO2",41.5099299966667
2013,1,1,19,"CZ0UULM","NO2",41.50992999
2013,1,1,20,"CZ0UULM","NO2",34.81478
2013,1,1,21,"CZ0UULM","NO2",34.4321999966667
2013,1,1,22,"CZ0UULM","NO2",33.9858566666667
2013,1,1,23,"CZ0UULM","NO2",32.4555366666667
2013,1,2,0,"CZ0UULM","NO2",32.3917729966667
2013,1,2,1,"CZ0UULM","NO2",31.8179033333333
2013,1,2,2,"CZ0UULM","NO2",30.6063999966667
2013,1,2,3,"CZ0UULM","NO2",28.0558666666667
2013,1,2,4,"CZ0UULM","NO2",31.05274333
2013,1,2,5,"CZ0UULM","NO2",39.7245566666667
2013,1,2,6,"CZ0UULM","NO2",46.86605
2013,1,2,7,"CZ0UULM","NO2",53.36991
2013,1,2,8,"CZ0UULM","NO2",53.75249
2013,1,2,9,"CZ0UULM","NO2",52.0308799966667
2013,1,2,10,"CZ0UULM","NO2",48.07755333
2013,1,2,11,"CZ0UULM","NO2",39.9158466666667
2013,1,2,12,"CZ0UULM","NO2",35.5799399966667
2013,1,2,13,"CZ0UULM","NO2",29.5224233333333
2013,1,2,14,"CZ0UULM","NO2",28.31092
2013,1,2,15,"CZ0UULM","NO2",30.8614533333333
2013,1,2,16,"CZ0UULM","NO2",31.3715596633333
2013,1,2,17,"CZ0UULM","NO2",31.18027
2013,1,2,18,"CZ0UULM","NO2",31.18027
2013,1,2,19,"CZ0UULM","NO2",23.91125
2013,1,2,20,"CZ0UULM","NO2",23.01856333
2013,1,2,21,"CZ0UULM","NO2",21.6795333333333
