"Year","Month","Day","Hour","AirQualityStationEoICode","AirPollutant","Concentration"
2013,1,1,0,"CZ0ZUHR","PM10",26.7
2013,1,1,1,"CZ0ZUHR","PM10",37.3666666633333
2013,1,1,2,"CZ0ZUHR","PM10",41.2333333333333
2013,1,1,3,"CZ0ZUHR","PM10",30.3
2013,1,1,4,"CZ0ZUHR","PM10",23.8666666633333
2013,1,1,5,"CZ0ZUHR","PM10",23.1999999966667
2013,1,1,6,"CZ0ZUHR","PM10",22.3999999966667
2013,1,1,7,"CZ0ZUHR","PM10",19.4666666666667
2013,1,1,8,"CZ0ZUHR","PM10",9.39999999666667
2013,1,1,9,"CZ0ZUHR","PM10",16.2666666666667
2013,1,1,10,"CZ0ZUHR","PM10",16.0999999966667
2013,1,1,11,"CZ0ZUHR","PM10",8.93333333
2013,1,1,12,"CZ0ZUHR","PM10",15.8666666633333
2013,1,1,13,"CZ0ZUHR","PM10",28.8666666633333
2013,1,1,14,"CZ0ZUHR","PM10",35.0333333333333
2013,1,1,15,"CZ0ZUHR","PM10",34.4
2013,1,1,16,"CZ0ZUHR","PM10",32.9333333333333
2013,1,1,17,"CZ0ZUHR","PM10",33.7333333333333
2013,1,1,18,"CZ0ZUHR","PM10",37.0999999966667
2013,1,1,19,"CZ0ZUHR","PM10",38.1666666666667
2013,1,1,20,"CZ0ZUHR","PM10",38.6666666666667
2013,1,1,21,"CZ0ZUHR","PM10",38.6
2013,1,1,22,"CZ0ZUHR","PM10",38.5999999966667
2013,1,1,23,"CZ0ZUHR","PM10",35.6333333333333
2013,1,2,0,"CZ0ZUHR","PM10",36.2333333333333
2013,1,2,1,"CZ0ZUHR","PM10",37.83333333
2013,1,2,2,"CZ0ZUHR","PM10",36.7666666666667
2013,1,2,3,"CZ0ZUHR","PM10",38.2333333333333
2013,1,2,4,"CZ0ZUHR","PM10",39.2999999966667
2013,1,2,5,"CZ0ZUHR","PM10",41.63333333
2013,1,2,6,"CZ0ZUHR","PM10",44.7999999966667
2013,1,2,7,"CZ0ZUHR","PM10",43.33333333
2013,1,2,8,"CZ0ZUHR","PM10",41.9666666666667
2013,1,2,9,"CZ0ZUHR","PM10",38.23333333
2013,1,2,10,"CZ0ZUHR","PM10",37.93333333
2013,1,2,11,"CZ0ZUHR","PM10",40.0333333333333
2013,1,2,12,"CZ0ZUHR","PM10",43.1666666666667
2013,1,2,13,"CZ0ZUHR","PM10",45.13333333
2013,1,2,14,"CZ0ZUHR","PM10",49.8333333333333
2013,1,2,15,"CZ0ZUHR","PM10",49.6
2013,1,2,16,"CZ0ZUHR","PM10",46.73333333
2013,1,2,17,"CZ0ZUHR","PM10",41.3666666633333
2013,1,2,18,"CZ0ZUHR","PM10",41.9
2013,1,2,19,"CZ0ZUHR","PM10",43.0999999966667
2013,1,2,20,"CZ0ZUHR","PM10",39.4666666666667
2013,1,2,21,"CZ0ZUHR","PM10",37.7
2013,1,2,22,"CZ0ZUHR","PM10",34.9
2013,1,2,23,"CZ0ZUHR","PM10",35.7
2013,1,3,0,"CZ0ZUHR","PM10",38.8666666633333
2013,1,3,1,"CZ0ZUHR","PM10",34.43333333
2013,1,3,2,"CZ0ZUHR","PM10",36.8999999966667
2013,1,3,3,"CZ0ZUHR","PM10",39.4333333333333
2013,1,3,4,"CZ0ZUHR","PM10",37.33333333
2013,1,3,5,"CZ0ZUHR","PM10",37.23333333
2013,1,3,6,"CZ0ZUHR","PM10",37.1
2013,1,3,7,"CZ0ZUHR","PM10",37.93333333
2013,1,3,8,"CZ0ZUHR","PM10",30.7666666666667
2013,1,3,9,"CZ0ZUHR","PM10",33.6999999966667
2013,1,3,10,"CZ0ZUHR","PM10",29.5
2013,1,3,11,"CZ0ZUHR","PM10",24.83333333
2013,1,3,12,"CZ0ZUHR","PM10",24.7999999966667
2013,1,3,13,"CZ0ZUHR","PM10",19.4
2013,1,3,14,"CZ0ZUHR","PM10",14
2013,1,3,15,"CZ0ZUHR","PM10",12.8999999966667
2013,1,3,16,"CZ0ZUHR","PM10",12
2013,1,3,17,"CZ0ZUHR","PM10",12.9
2013,1,3,18,"CZ0ZUHR","PM10",12.4666666666667
2013,1,3,19,"CZ0ZUHR","PM10",10.5
2013,1,3,20,"CZ0ZUHR","PM10",8.8
2013,1,3,21,"CZ0ZUHR","PM10",4.83333333333333
2013,1,3,22,"CZ0ZUHR","PM10",6.9
2013,1,3,23,"CZ0ZUHR","PM10",5.33333333333333
2013,1,4,0,"CZ0ZUHR","PM10",4
2013,1,4,1,"CZ0ZUHR","PM10",6.4
2013,1,4,2,"CZ0ZUHR","PM10",7.63333333333333
2013,1,4,3,"CZ0ZUHR","PM10",7.76666666666667
2013,1,4,4,"CZ0ZUHR","PM10",8.06666666333333
2013,1,4,5,"CZ0ZUHR","PM10",10.73333333
2013,1,4,6,"CZ0ZUHR","PM10",13.8666666666667
2013,1,4,7,"CZ0ZUHR","PM10",20.3333333333333
2013,1,4,8,"CZ0ZUHR","PM10",14.7
2013,1,4,9,"CZ0ZUHR","PM10",9.63333333333333
2013,1,4,10,"CZ0ZUHR","PM10",6.66666666333333
2013,1,4,11,"CZ0ZUHR","PM10",7.2
2013,1,4,12,"CZ0ZUHR","PM10",13.23333333
2013,1,4,13,"CZ0ZUHR","PM10",18.9333333333333
2013,1,4,14,"CZ0ZUHR","PM10",24.5
2013,1,4,15,"CZ0ZUHR","PM10",29.1
2013,1,4,16,"CZ0ZUHR","PM10",29.5999999966667
2013,1,4,17,"CZ0ZUHR","PM10",29.1999999966667
2013,1,4,18,"CZ0ZUHR","PM10",28.4666666633333
2013,1,4,19,"CZ0ZUHR","PM10",28.1
2013,1,4,20,"CZ0ZUHR","PM10",32.3
2013,1,4,21,"CZ0ZUHR","PM10",28.9999999966667
2013,1,4,22,"CZ0ZUHR","PM10",20.9666666666667
2013,1,4,23,"CZ0ZUHR","PM10",21.0333333333333
2013,1,5,0,"CZ0ZUHR","PM10",24.4666666633333
2013,1,5,1,"CZ0ZUHR","PM10",22.7
2013,1,5,2,"CZ0ZUHR","PM10",18.7666666666667
2013,1,5,3,"CZ0ZUHR","PM10",16.1
2013,1,5,4,"CZ0ZUHR","PM10",5.8
2013,1,5,5,"CZ0ZUHR","PM10",3.06666666666667
2013,1,5,6,"CZ0ZUHR","PM10",5.83333333
2013,1,5,7,"CZ0ZUHR","PM10",9.1
2013,1,5,8,"CZ0ZUHR","PM10",8.56666666666667
2013,1,5,9,"CZ0ZUHR","PM10",5.16666666666667
2013,1,5,10,"CZ0ZUHR","PM10",7.09999999666667
2013,1,5,11,"CZ0ZUHR","PM10",8.56666666333333
2013,1,5,12,"CZ0ZUHR","PM10",4.23333333333333
2013,1,5,13,"CZ0ZUHR","PM10",1.36666666666667
2013,1,5,14,"CZ0ZUHR","PM10",6.86666666666667
2013,1,5,15,"CZ0ZUHR","PM10",15.6666666666667
2013,1,5,16,"CZ0ZUHR","PM10",13.7333333333333
2013,1,5,17,"CZ0ZUHR","PM10",11.4333333333333
2013,1,5,18,"CZ0ZUHR","PM10",14.3
2013,1,5,19,"CZ0ZUHR","PM10",16.0999999966667
2013,1,5,20,"CZ0ZUHR","PM10",17.8333333333333
2013,1,5,21,"CZ0ZUHR","PM10",23
2013,1,5,22,"CZ0ZUHR","PM10",22.53333333
2013,1,5,23,"CZ0ZUHR","PM10",23.4666666633333
2013,1,6,0,"CZ0ZUHR","PM10",21.5333333333333
2013,1,6,1,"CZ0ZUHR","PM10",22.0666666666667
2013,1,6,2,"CZ0ZUHR","PM10",23.9666666666667
2013,1,6,3,"CZ0ZUHR","PM10",20.4666666633333
2013,1,6,4,"CZ0ZUHR","PM10",17.9
2013,1,6,5,"CZ0ZUHR","PM10",19.8
2013,1,6,6,"CZ0ZUHR","PM10",19.6999999966667
2013,1,6,7,"CZ0ZUHR","PM10",17.9
2013,1,6,8,"CZ0ZUHR","PM10",19.7
2013,1,6,9,"CZ0ZUHR","PM10",20.23333333
2013,1,6,10,"CZ0ZUHR","PM10",25.3666666633333
2013,1,6,11,"CZ0ZUHR","PM10",28.3
2013,1,6,12,"CZ0ZUHR","PM10",26.5999999966667
2013,1,6,13,"CZ0ZUHR","PM10",24.1666666633333
2013,1,6,14,"CZ0ZUHR","PM10",25.13333333
2013,1,6,15,"CZ0ZUHR","PM10",27.2
2013,1,6,16,"CZ0ZUHR","PM10",26.4
2013,1,6,17,"CZ0ZUHR","PM10",29.43333333
2013,1,6,18,"CZ0ZUHR","PM10",30.3
2013,1,6,19,"CZ0ZUHR","PM10",35.2666666666667
2013,1,6,20,"CZ0ZUHR","PM10",51.4666666666667
2013,1,6,21,"CZ0ZUHR","PM10",48.7333333333333
2013,1,6,22,"CZ0ZUHR","PM10",35.4666666666667
2013,1,6,23,"CZ0ZUHR","PM10",23.2666666633333
2013,1,7,0,"CZ0ZUHR","PM10",12.9666666666667
2013,1,7,1,"CZ0ZUHR","PM10",11
2013,1,7,2,"CZ0ZUHR","PM10",11.2666666666667
2013,1,7,3,"CZ0ZUHR","PM10",14.1
2013,1,7,4,"CZ0ZUHR","PM10",16.8
2013,1,7,5,"CZ0ZUHR","PM10",19.33333333
2013,1,7,6,"CZ0ZUHR","PM10",25.7666666666667
2013,1,7,7,"CZ0ZUHR","PM10",29.5666666666667
2013,1,7,8,"CZ0ZUHR","PM10",23.4333333333333
2013,1,7,9,"CZ0ZUHR","PM10",20.1
2013,1,7,10,"CZ0ZUHR","PM10",16.7
2013,1,7,11,"CZ0ZUHR","PM10",10.2
2013,1,7,12,"CZ0ZUHR","PM10",19.33333333
2013,1,7,13,"CZ0ZUHR","PM10",33.5666666666667
2013,1,7,14,"CZ0ZUHR","PM10",36.6666666633333
2013,1,7,15,"CZ0ZUHR","PM10",37.1
2013,1,7,16,"CZ0ZUHR","PM10",34
2013,1,7,17,"CZ0ZUHR","PM10",33.6
2013,1,7,18,"CZ0ZUHR","PM10",37.6999999966667
2013,1,7,19,"CZ0ZUHR","PM10",44.7999999966667
2013,1,7,20,"CZ0ZUHR","PM10",56.0333333333333
2013,1,7,21,"CZ0ZUHR","PM10",57.0999999966667
2013,1,7,22,"CZ0ZUHR","PM10",56.1
2013,1,7,23,"CZ0ZUHR","PM10",64.2666666633333
2013,1,8,0,"CZ0ZUHR","PM10",69.4
2013,1,8,1,"CZ0ZUHR","PM10",60.0666666666667
2013,1,8,2,"CZ0ZUHR","PM10",50.4333333333333
2013,1,8,3,"CZ0ZUHR","PM10",47.9
2013,1,8,4,"CZ0ZUHR","PM10",41.13333333
2013,1,8,5,"CZ0ZUHR","PM10",37.6666666633333
2013,1,8,6,"CZ0ZUHR","PM10",38.8666666666667
2013,1,8,7,"CZ0ZUHR","PM10",40.1
2013,1,8,8,"CZ0ZUHR","PM10",39.8666666633333
2013,1,8,9,"CZ0ZUHR","PM10",38.7333333333333
2013,1,8,10,"CZ0ZUHR","PM10",38.7666666633333
2013,1,8,11,"CZ0ZUHR","PM10",47.8
